article,domain,label
"A generalized approach for determination of transmittance (transfer function) in Z-domain of optical waveguide based ring resonator is introduced in the present article. Delay line signal processing technique, developed by a few previous researchers, is used to develop the signal flow graph of different ring resonator architectures, and a rule, already established by a previous investigator, is implemented to determine its overall transmittance. Frequency responses of three different ring resonator architectures are presented in the article. The parameters describing the performance of optical filter can be directly estimated from the frequency response plot. The simulated results of single and double ring architectures are compared with those of previously published results. A waveguide based triple ring resonator architecture is proposed, and its frequency response analysis is carried out in the article. (c) 2006 Published by Elsevier B.V.
",ECE,1
"Ambient intelligence technologies are making our daily life increasingly virtual, and the boundary between the real world and the virtual world is gradually disappearing. Computer games are often played on the Internet, which allows people to enjoy games with others, even when they are not at the same location. This paper analyzes the Trading Card Game (TCG), which has two versions. One version is played with paper-based cards, whereas the other is played on a computer. The computer-based TCG supports remote play and has a number of enhancements, such as providing special fictional effects on virtual cards. The two different versions are useful to analyze the influence of virtuality in making future social interaction more playful. First, we investigate potential pitfalls to introduce virtuality in TCG through the scenario-based analysis, which adopts a player's personality to exploit potential difficulties. For investigating further insights on the influence of virtuality in TCG, we analyze some experiments with Augmented Trading Card Game, where a real opponent player is replaced with a fictional player. Our findings from the analyses show that the feeling of realness is essential to make incorporated virtuality successful. Recently some games' concepts can be adopted in order to augment our real world. It is essential to investigate the influence of virtuality introduced with the games. The future social interaction will incorporate virtuality based on a variety of game-like features to make the interaction more playful. Therefore, the insights described in this paper will be useful to help the design of future playful social interaction.
",Civil,4
"A study was conducted to determine the performance of a low cost plantar measuring device. The aim of the device was to establish an in-shoe measurement system with high resolution and to take relatively accurate measurements. The calibration method for the smart material was established with the use of a Kistler force plate. The coefficient of determination r(2) of the force against resistance calibration curve was 0.974. The residual standard deviation amounted to 13.91 N. The r(2) value of the repetitive loading experiments amounted to 0.981. The residual standard deviation was 70.35 N for forces larger than 700 N. From the data obtained, the insole is deemed to be sufficiently accurate for quantitative analysis. (C) 2015 The Authors. Published by Elsevier Ltd.
",Civil,4
"Agitation associated with dementia is frequently reported clinically but has received little attention in preclinical models of dementia. The current study used a 7PA2 CM intracerebroventricular injection model of Alzheimer's disease (AD) to assess acute memory impairment, and a bilateral intrahippocampal (IH) injection model of AD (aggregated A beta(1-42) injections) and a bilateral IH injection model of dementia with Lewy bodies (aggregated NAC(61-95) injections) to assess chronic memory impairment in the rat. An alternating-lever cyclic-ratio schedule of operant responding was used for data collection, where incorrect lever perseverations measured executive function (memory) and running response rates (RRR) measured behavioral output (agitation). The results indicate that bilateral IH injections of A beta(1-42) and bilateral IH injections of NAC(61-95) decreased memory function and increased RRRs, whereas intracerebroventricular injections of 7PA2 CM decreased memory function but did not increase RRRs. These findings show that using the aggregated peptide IH injection models of dementia to induce chronic neurotoxicity, memory decline was accompanied by elevated behavioral output. This demonstrates that IH peptide injection models of dementia provide a preclinical screen for pharmacological interventions used in the treatment of increased behavioral output (agitation), which also establish detrimental side effects on memory. (C) 2017 Wolters Kluwer Health, Inc. All rights reserved.
",Medical,5
"A method to characterize small antennas in their actual operating conditions is presented. The proposed procedure is based on the radar cross section (RCS) measurement technique using backscattering modulation. A theoretical description of the measurement setup based on the signal flow graph representation is presented. The experimental validation includes the measurement of one and two port antennas, as well as the measurement of a small integrated antenna. Results show how the effect of the environment on the antenna impedance can be adequately measured with the proposed system.
",ECE,1
"A high degree of uncertainty associated with the emission inventory for China tends to degrade the performance of chemical transport models in predicting PM2.5 concentrations especially on a daily basis. In this study a novel machine learning algorithm, Geographically -Weighted Gradient Boosting Machine (GW-GBM), was developed by improving GBM through building spatial smoothing kernels to weigh the loss function. This modification addressed the spatial nonstationarity of the relationships between PM2.5 concentrations and predictor variables such as aerosol optical depth (AOD) and meteorological conditions. GW-GBM also overcame the estimation bias of PM2.5 concentrations due to missing AOD retrievals, and thus potentially improved subsequent exposure analyses. GW-GBM showed good performance in predicting daily PM2.5 concentrations (R-2 = 0.76, RMSE = 23.0 g/m(3)) even with partially missing AOD data, which was better than the original GBM model (R-2 = 0.71, RMSE = 25.3 g/m(3)). On the basis of the continuous spatiotemporal prediction of PM2.5 concentrations, it was predicted that 95% of the population lived in areas where the estimated annual mean PM2.5 concentration was higher than 35 g/m(3), and 45% of the population was exposed to PM2.5 >75 g/m(3) for over 100 days in 2014. GW-GBM accurately predicted continuous daily PM2.5 concentrations in China for assessing acute human health effects. (C) 2017 Elsevier Ltd. All rights reserved.
",CS,0
"A comprehensive ontology can ease the discovery, maintenance and popularization of knowledge in many domains. As a means to enhance existing ontologies, attribute extraction has attracted tremendous research attentions. However, most existing attribute extraction techniques focus on exploring a single type of sources, such as structured (e.g., relational databases), semi-structured (e.g., Extensible Markup Language (XML)) or unstructured sources (e.g., Web texts, images), which leads to the poor coverage of knowledge bases (KBs). This paper presents a framework for ontology augmentation by extracting attributes from four types of sources, namely existing knowledge bases (KBs), query stream, Web texts, and Document Object Model (DOM) trees. In particular, we use query stream and two major KBs, DBpedia and Freebase, to seed the attribute extraction from Web texts and DOM trees. We specially focus on exploring the extraction technique from DOM trees, which is rarely studied in previous works. Algorithms and a series of filters are developed. Experiments show the capability of our approach in augmenting existing KB ontology.
",CS,0
"A novel generalized pattern search (GPS)-based cellular automata (GPS-CA) model was developed to simulate urban land-use change in a GIS environment. The model is built on a fitness function that computes the difference between the observed results produced from remote-sensing images and the simulated results produced by a general CA model. GPS optimization incorporating genetic algorithms (GAs) searches for the minimum difference, i.e. the smallest accumulated residuals, in fitting the CA transition rules. The CA coefficients captured by the GPS method have clear physical meanings that are closely associated with the dynamic mechanisms of land-use change. The GPS-CA model was applied to simulate urban land-use change in Kunshan City in the Yangtze River Delta from 2000 to 2015. The results show that the GPS method had a smaller root mean squared error (0.2821) than a logistic regression (LR) method (0.5256) in fitting the CA transition rules. The GPS-CA model thus outperformed the LR-CA model, with an overall accuracy improvement of 4.7%. As a result, the GPS-CA model should be a superior tool for modeling land-use change as well as predicting future scenarios in response to different conditions to support the sustainable urban development.
",Civil,4
"An image intensifier installed in the optical path of a compact spectrometer may act not only as a fast gating unit, which is widely used for time-resolved measurements, but also as a variable attenuator-amplifier in a continuous wave mode. This opens the possibility of an automatic gain control, a new feature in spectroscopy. With it, the user is relieved from the necessity to manually adjust signal level at a certain value that it is done automatically by means of an electronic feedback loop. It is even more important that automatic gain control is done without changing exposure time, which is an additional benefit in time-resolved experiments. The concept, algorithm, design considerations, and experimental results are presented.
",CS,0
"An important issue in Ambient Intelligence (AmI) is the massive deployment of intelligent agents embedded in the environment which are adaptive to the users' profiles, preferences and needs. This is why, the use of agent-oriented methodologies and frameworks is almost mandatory to easily develop software for AmI scenarios. ICARO is a software framework that promotes the use of different organizational and behavioral patterns to implement multi-agent systems (MAS). Its extensive use in several projects demonstrates a substantial increase in software productivity. Also, in order to reduce the coding effort it is usual to design MAS at a higher level. In this sense, code generation from MAS specifications into ICARO framework has been performed. INGENIAS Development Kit (IDK) supports both the specification of MAS models, including any feature required to implement MAS with ICARO, and a set of facilities for code generation. This paper describes the development of AmI applications thanks to the integration of ICARO and IDK. Two IDK modules have been developed, namely a ""code generation"" and a ""code update support"" module.
",Civil,4
"Acute angioedema attacks are conventionally treated with antihistamines and steroids, in line with a presumed mechanism of disease involving overwhelming mast-cell degranulation. This approach overlooks a small but important minority of cases in which attacks are bradykinin driven and exhibit poor responsiveness to steroid or anti-histamine therapy. These patients may have a family history of angioedema (hereditary angioedema), or a past medical history including B-cell lymphoproliferative disorders or autoimmune disease (acquired angioedema). Rather than steroid therapy, they respond to administration of a bradykinin inhibitor, or more commonly, a Cl esterase inhibitor substitute, to control acute symptoms and reduce the probability of invasive airway insertion. In the long-term, they require Cl esterase inhibitor sparing therapy and a treat-the-cause approach to reduce the risk of recurrent attacks. We present here a case of a middle-aged woman who presented with recurrent angioedema of initially uncertain aetiology.
",Medical,5
"A facile, controllable, inexpensive and green electrochemical synthesis of IrO2-graphene nanohybrid thin films is developed to fabricate an easyto-use integrated paper microfluidic electrochemical pH sensor for resource-limited settings. Taking advantages from both pH meters and strips, the pH sensing platform is composed of hydrophobic barrier-patterned paper micropad (mu PAD) using polydimethylsiloxane (PDMS), screen-printed electrode (SPE) modified with IrO2-graphene films and molded acrylonitrile butadiene styrene (ABS) plastic holder. Repetitive cathodic potential cycling was employed for graphene oxide (GO) reduction which can completely remove electrochemically unstable oxygenated groups and generate a 2D defect-free homogeneous graphene thin film with excellent stability and electronic properties. A uniform and smooth IrO2 film in nanoscale grain size is anodically electrodeposited onto the graphene film, without any observable cracks. The resulting IrO2-RGO electrode showed slightly super-Nernstian responses from pH 2-12 in Britton-Robinson (B-R) buffers with good linearity, small hysteresis, low response time and reproducibility in different buffers, as well as low sensitivities to different interfering ionic species and dissolved oxygen. A simple portable digital pH meter is fabricated, whose signal is measured with a multimeter, using high input-impedance operational amplifier and consumer batteries. The pH values measured with the portable electrochemical paper-microfluidic pH sensors were consistent with those measured using a commercial laboratory pH meter with a glass electrode.
",ECE,1
"Agarwood formation in Aquilaria malaccensis could be artificially stimulated by fungal infection. Furthermore, A. malaccensis adapts to this infection by developing typical included phloem boundary within xylem tissues. Naturally synthesized agarwood requires a lengthy process of up to 30 years, which impedes its continuous production. Therefore, recent effort has been allocated to the elucidation of agarwood formation to stimulate its process rapidly. In this study, we artificially induced agarwood formation by injection and inoculation of cultivated Aquilaria malaccensis with four strains of Fusarium solani isolated from different places in Indonesia. The results showed that A. malaccensis responded differently upon wounding and fungal inoculations compared to healthy trees. All wounded and inoculated samples resulted in the formation of typical discoloration zone surrounding injection sites. Further anatomical observation revealed that both samples also developed included phloem structures in which resinous agarwood compounds were accumulated. Gas chromatography-mass spectrometry (GC-MS) analysis of the inoculated samples yielded some important agarwood compounds such as tridecanoic acid, alpha-santalol, and spathulenol, which were not present in both healthy controls and only wounded samples. Notably, one of the tested F. solani, strain Gorontalo displayed promising results as a candidate for artificially induced agarwood formation in A. malaccensis in terms of color, odor, and chemical constituents.
",Medical,5
"An Omega-3 chicken egg is a chicken egg produced through food engineering technology. It is produced by hen fed with high omega-3 fatty acids. So, it has fifteen times nutrient content of omega-3 higher than Leghorn's. Visually, its shell has the same shape and colour as Leghorn's. Each egg can be distinguished by breaking the egg's shell and testing the egg yolk's nutrient content in a laboratory. But, those methods were proven not effective and efficient. Observing this problem, the purpose of this research is to make an application to detect the type of omega-3 chicken egg by using a mobile-based computer vision. This application was built in OpenCV computer vision library to support Android Operating System. This experiment required some chicken egg images taken using an egg candling box. We used 60 omega-3 chicken and Leghorn eggs as samples. Then, using an Android smartphone, image acquisition of the egg was obtained. After that, we applied several steps using image processing methods such as Grab Cut, convert RGB image to eight bit grayscale, median filter, P-Tile segmentation, and morphology technique in this research. The next steps were feature extraction which was used to extract feature values via mean, variance, skewness, and kurtosis from each image. Finally, using digital image measurement, some chicken egg images were classified. The result showed that omega-3 chicken egg and Leghorn egg had different values. This system is able to provide accurate reading around of 91%.
",CS,0
"A complexity of business dynamics often forces decision-makers to make decisions based on subjective mental models, reflecting their experience. However, research has shown that companies perform better when they apply data-driven decision-making. This creates an incentive to introduce intelligent, data based decision models, which are comprehensive and support the interactive evaluation of decision options necessary for the business environment. Recently, a new general explanation methodology has been proposed, which supports the explanation of state-of-the-art black-box prediction models. Uniform explanations are generated on the level of model/individual instance and support what-if analysis. We present a novel use of this methodology inside an intelligent system in a real-world case of business-to-business (B2B) sales forecasting, a complex task frequently done judgmentally. Users can validate their assumptions with the presented explanations and test their hypotheses using the presented what-if parallel graph representation. The results demonstrate effectiveness and usability of the methodology. A significant advantage of the presented method is the possibility to evaluate seller's actions and to outline general recommendations in sales strategy. This flexibility of the approach and easy-to-follow explanations are suitable for many different applications. Our well-documented real-world case shows how to solve a decision support problem, namely that the best performing black-box models are inaccessible to human interaction and analysis. This could extend the use of the intelligent systems to areas where they were so far neglected due to their insistence on comprehensible models. A separation of the machine learning model selection from model explanation is another significant benefit for expert and intelligent systems. Explanations unconnected to a particular prediction model positively influence acceptance of new and complex models in the business environment through their easy assessment and switching. (C) 2016 Elsevier Ltd. All rights reserved.
",CS,0
"An inverse problem for the wave equation outside an obstacle with a dissipative boundary condition is considered. The observed data are given by a single solution of the wave equation generated by an initial data supported on an open ball. An explicit analytical formula for the computation of the coefficient at a point on the surface of the obstacle, which is nearest to the center of the support of the initial data, is given. Copyright (C) 2016 JohnWiley & Sons, Ltd.
",Civil,4
"A simplified one-pot and less harmful method has been introduced for the synthesis of borinic acid monomer. The corresponding borinic acid polymer (PBA) has been prepared by reversible addition-fragmentation chain transfer polymerization. Property investigations confirm the characteristics of PBA as a new type of ""smart material"" in the field of thermo-responsive polymer. The potential application of PBA in the field of enzymatic biofuel cell has been illustrated with a wide open circuit potential of 0.92 V.
",Civil,4
"Acitretin is one of the systemic agents used for the treatment of psoriasis. Because different acitretin dosages resulted therapeutically successful, there is no general agreement on the optimal dose regimen. To report acitretin efficacy and safety in a real-life setting, wherein patient-tailored dose regimen is usually prescribed, a retrospective analysis evaluating charts of all plaque-type psoriasis patients treated with acitretin from the clinic database was performed. PASI score improvement, as well as PASI 50, 75, 90, and 100 responses were assessed throughout the observational period. Overall, 52% PASI score reduction and a satisfactory safety profile were detected. PASI 50, 75, 90, and 100 response was achieved by 53%, 48%, 28%, and 14%, respectively. Treatment consisted on a mean daily acitretin dose of 25.01 mg. The initial dose was increased (51.2% of cases) or decreased (48.8%) prescribing a mean daily dose of 29.8 mg and 20.02 mg, respectively. This study proposed a dose regimen customized on clinical response and patient's needs, to optimized acitretin benefit.
",Medical,5
"Amifostine, 2-(3-aminopropyl) aminoethyl phosphorothioate, is a broad-spectrum cytoprotective agent used to treat nuclear radiation and chemical weapon injuries. Recently, amifostine has been shown to have a profound biological influence on tumor cells. To examine the effects and mechanisms underlying the effects of amifostine on human acute megakaryocytic leukemia, we evaluated the efficacy of amifostine against Dami cells and observed a cell cycle arrest in G(2)/M phase. Amifostine treatment also induced cell apoptosis of Dami cells which corresponds to formal studies. Through whole-genome microarray and bioinformatics analyses, we found that amifostine affected the gene expression of CCND1,BCL2, and CASP3 which revealed the mechanism amifostine acted on Dami cells. Thus, CCND1-BCL2 Gene Network is predicted to be a direct target of amifostine treating human acute megakaryocytic leukemia, which may provide a novel potential target for the therapy of several subtypes of human AML.
",CS,0
"A novel motor design methodology and optimization is proposed, which is applied to a SRM. It greatly reduces the finite element analysis use. A multi physics study is realized in order to couple the thermal, magnetic and electric motor analysis. Then, the information obtained with this study allows creating different behaviors maps in order to evaluate the motor in all operating area. With the joule and iron losses, the thermal network obtains a temperature map for each current and angular speed. Then, the electric model uses the parameters obtained on reluctances network and the phase resistance variation obtained on thermal lumped parameter. Finally, the optimal motor obtained is validated on FEA. To sum up, the motor design is obtained using multi physics analysis taking into account different operating points, i.e. it is a range operation optimization. In addition, reducing FEA computation time is achieved with the methodology proposed.
",ECE,1
"A improvement of the expansion methods namely the improved tan(Phi(xi)/2)-expansion method for solving the Tzitzeica type nonlinear evolution equations is proposed. In this work, the dispersive optical solitons that are governed by the Tzitzeica type nonlinear evolution equations. As a result, many new and more general exact travelling wave solutions are obtained including periodic function solutions, soliton-like solutions and trigonometric function solutions. The exact particular solutions containing four types hyperbolic function solution, trigonometric function solution, exponential solution and rational solution. We obtained the further solutions comparing with other methods. Recently this method is developed for searching exact travelling wave solutions of nonlinear partial differential equations. Abundant exact travelling wave solutions including solitons, kink, periodic and rational solutions have been found. These solutions might play important role in engineering fields. It is shown that this method, with the help of symbolic computation, provides a straightforward and powerful mathematical tool for solving the nonlinear problems.
",CS,0
"Aiming at the problem that the fixed radio frequency identification (RFID) system with lightweight cryptography may be easily illegally controlled, a communication authentication protocol based on quantum key distribution using decoy-state method is proposed and developed in this study. A new RFID-system model using quantum key distribution is introduced, which indicates that the quantum keys are distributed to the RFID tags and reader and EPC information server via weakly coherent photons transmitted through optical fiber. This work mainly presents the protocol description with detailed theoretical analyses, including RFID system's initialization, the transmission, reception, and acquisition of the random quantum key, and the authentication process between the EPC information server and the RFID tag and reader. The security analysis of the protocol is finally carried out, which proves that the proposed protocol can prevent various eavesdropper's attacks with solid security.
",CS,0
"Abundance and seasonal trophodynamics (specific growth rate, daily production, and grazing mortality) of the major picophytoplankton components, Synechococcus cyanobacteria (Syn) and picoeukaryotes (Pico-E), were studied at three stations in Sevastopol Bay and adjacent coastal waters (the Black Sea) in 2014 by flow cytometry and the dilution method. Pico-E abundance was shown to increase along the nutrient and pollution gradient from the coastal waters outside the bay (annual average of 7.3 +/- 5.4 x 10(3) cells mL(-1)) to the eastern corner of the bay (28.7 +/- 11.4 x 10(3) cells mL(-1)), while no relation was found between the water pollution status and Syn abundance (9.9 +/- 8.7 x 10(3) cells mL(-1); at all the stations, n = 27). Matter flows through the communities (daily production for Syn and Pico-E 0(-1)6.6 and 0(-1)9.3 A mu g C L-1 day(-1), respectively; grazing mortality for Syn and PicoE 0-3.6 and 0-21.2 A mu g C L-1 day(-1), respectively) were comparable to or even exceeded their biomass stocks (>0.05-6.8 and 0.9-26.5 A mu g C L-1 for Syn and PicoE, respectively), indicating high biomass turnover rates. The highest flow-to-stock ratio (up to 6 for Syn) and a significant imbalance between daily production (P) and grazing mortality (G) were observed in the most polluted and eutrophic waters of the bay in spring (Pico-E: P/G1). Black River inflow to the bay was hypothesized to be among the mechanisms maintaining this pronounced and long-term imbalance in the open system without any negative consequences for the picophytoplankton assemblages.
",Civil,4
"Advances in medical treatment for gastric ulcer (GU) and duodenal ulcer (DU) have lead to an increase in the number of cases where surgical interventions implied resection and vagotomy. A classic or laparoscopic approach is required by perforated DU, diagnosis responsible for the high percentage of deaths. In this case it is excluded the conservative treatment with proton pump inhibitors and the eradication of the infection with Helicobacter pylori (HP). Our study presents observations on the treatment of postoperative DU on a group of elderly patients (>60 years) with associated chronic diseases. The studied group includes patients hospitalized between 2005 - 2010 in the Department of Surgery, in Sf. Pantelimon, Sf. loan, and Coltea Hospitals. Of 186 emergency presentations, 23 were duodenal ulcer relapse, 126 perforated DU and GU 37 were cases of perforated GU. 15-16% were aged >60 years, mainly males. For cases of duodenal ulcer recurrence in the first aggressive manifestation or recurrent duodenal ulcer, treatment was instituted along with the terapeutical association regarding the type of diabetes, hypertension, heart failure, cirrhosis. For this situation, as for the treatment after surgery we considered national and international guidelines, as the consensus in 1996 in Maastricht ""European concept in the management of Helicobacter pilory infection"" and the 1997 U.S. ""American Digestive Health Foundation.""
",Medical,5
"A 400-800 MHz spectrum sensing system is designed and implemented using 0.18-mu m CMOS technology for cognitive radios in the UHF TV band. Based on envelope detection, the system employs a down converter, a digitally controlled oscillator, a low-pass filer (LPF), a rectifier, a comparator, and a digital control unit to realize spectrum sensing with 10-bit frequency representation. With variable-gain function of the LPF, signal strength can be measured and presented with a 5-bit signal strength index.
",ECE,1
"Ambient Intelligence and Ambient Assisted Living systems are required to provide a natural user experience, where the interaction is resolved by using devices and modalities adapted to the user abilities and preferences, and even to the environment conditions. Because of the variety of devices and technologies, and the diversity of scenarios, developing these interaction systems is a complicated task. This paper proposes an UI abstraction framework for the development of AmI and AAL systems that effectively improves the portability of those systems between different environments. It allows developers to design and implement a single UI capable of being deployed with different devices and modalities regardless the physical location.
",Civil,4
